symbol,date,open,high,low,close,volume,quote_volume,atr,rsi,upper_shadow,lower_shadow,upper_shadow_ratio,lower_shadow_ratio,weekly_range,weekly_range_pct,body_size,body_size_pct,volatility_ratio
ETHUSDT,2024-07-21,3245.2,3547.0,3233.22,3535.92,1896101.9183,6524810522.315507,401.59,56.58966239249684,,,,,313.7800000000002,9.704876253394454,,,0.11357440213579492
BTCUSDT,2024-07-28,68165.35,69399.99,63456.7,68249.88,177889.46168,11859803772.719894,6073.356428571431,54.027713024244946,,,,,5943.290000000008,9.365898321217474,,,0.08898706383910757
ETHUSDT,2024-07-28,3535.93,3562.82,3087.53,3270.16,2073949.1765,6911215081.866561,406.06285714285707,51.94566312024067,,,,,475.28999999999996,15.393858521212747,,,0.12417216807216072
BTCUSDT,2024-08-04,68249.88,70079.99,57122.77,58161.0,216238.9234,13848492540.56757,6653.078571428573,44.97615568422951,,,,,12957.220000000008,22.683108679778673,,,0.11439071837534728
ETHUSDT,2024-08-04,3270.16,3396.77,2630.0,2688.92,2315109.2317,7129388578.982741,440.0707142857142,42.04963426075838,,,,,766.77,29.154752851711024,,,0.1636607687419909
ETHUSDT,2024-08-11,2688.91,2724.1,2111.0,2555.38,5404357.4398,13153948177.472483,450.29571428571415,41.97412514193048,,,,,613.0999999999999,29.043107531975366,,,0.1762147759964131
BTCUSDT,2024-08-11,58161.0,62745.14,49000.0,58712.59,370726.80645,20664617446.70927,7050.504285714288,44.59234055475701,,,,,13745.14,28.051306122448977,,,0.12008504965824687
ETHUSDT,2024-08-18,2555.38,2780.0,2510.05,2612.15,2038545.3388,5386366733.823856,445.05142857142846,45.42944272463669,,,,,269.9499999999998,10.754765841317894,,,0.17037743949291903
BTCUSDT,2024-08-18,58712.59,61800.0,56078.54,58427.35,179945.24534,10641038279.55444,7079.688571428574,46.73130959352251,,,,,5721.459999999999,10.202583733456683,,,0.12117079709123507
BTCUSDT,2024-08-25,58427.35,65000.0,57787.3,64220.0,169792.31289,10379608164.001375,7098.396428571431,47.84960814690937,,,,,7212.699999999997,12.4814621897891,,,0.11053248876629447
