symbol,date,close,volume,quote_volume,open,high,low
BTCUSDT,2025-07-17,119177.56,15728.57651,1869114355.1231644,118630.44,120998.71,117453.57
ETHUSDT,2025-07-18,3546.92,1163823.3977,4180688128.221824,3476.88,3673.84,3458.68
BTCUSDT,2025-07-18,117924.84,19924.66266,2367355518.470308,119177.56,120820.71,116812.76
ETHUSDT,2025-07-19,3592.01,381791.9213,1360031951.337076,3546.92,3608.3,3506.79
BTCUSDT,2025-07-19,117840.0,6635.80306,783327898.4969696,117924.84,118499.9,117277.34
BTCUSDT,2025-07-20,117265.12,12962.92889,1528864683.816082,117840.01,118856.8,116467.02
ETHUSDT,2025-07-20,3756.69,852356.5533,3170505338.400095,3592.0,3824.56,3579.13
ETHUSDT,2025-07-21,3762.33,812074.0534,3070256408.919716,3756.69,3860.0,3701.01
BTCUSDT,2025-07-21,117380.36,17107.33128,2020783266.9633648,117265.11,119676.73,116515.0
BTCUSDT,2025-07-22,119954.42,20959.12973,2481252763.651911,117380.36,120247.8,116128.0
ETHUSDT,2025-07-22,3746.21,870127.3864,3216022611.720179,3762.32,3798.65,3616.54
ETHUSDT,2025-07-23,3628.29,800259.4025,2907900644.920295,3746.21,3764.2,3527.0
BTCUSDT,2025-07-23,118755.99,14558.75083,1722126986.886661,119954.43,120090.0,117301.0
ETHUSDT,2025-07-24,3706.94,749459.495,2743326751.987169,3628.29,3771.0,3502.85
BTCUSDT,2025-07-24,118340.99,15806.89043,1873181653.2018075,118756.0,119450.0,117103.1
BTCUSDT,2025-07-25,117614.31,38406.34873,4456778786.620494,118340.98,118451.57,114723.16
ETHUSDT,2025-07-25,3724.96,764606.7261,2799663682.731906,3706.95,3747.0,3573.76
ETHUSDT,2025-07-26,3741.1,407259.7024,1525422085.066145,3724.97,3793.0,3697.66
BTCUSDT,2025-07-26,117919.99,6991.67206,823629079.7493103,117614.31,118297.35,117138.38
ETHUSDT,2025-07-27,3872.1,457352.4605,1744992440.585528,3741.11,3879.82,3731.0
BTCUSDT,2025-07-27,119415.55,9328.30919,1107883542.1607983,117919.99,119766.65,117825.5
ETHUSDT,2025-07-28,3799.0,620994.7463,2387363538.135913,3872.11,3941.0,3754.0
BTCUSDT,2025-07-28,118062.32,13961.74754,1655882235.896518,119415.56,119800.0,117427.5
ETHUSDT,2025-07-29,3793.79,584210.4393,2218694085.767802,3799.0,3886.44,3716.04
BTCUSDT,2025-07-29,117950.76,15137.93445,1788682083.6856463,118062.32,119273.36,116950.75
ETHUSDT,2025-07-30,3810.0,525424.9003,1984744001.488409,3793.79,3834.03,3677.65
BTCUSDT,2025-07-30,117840.3,15586.73631,1832696878.222986,117950.75,118792.0,115796.23
ETHUSDT,2025-07-31,3698.39,516088.4503,1961880275.402547,3810.0,3878.67,3684.33
BTCUSDT,2025-07-31,115764.08,17010.0073,2002870016.7022426,117840.29,118922.45,115500.0
BTCUSDT,2025-08-01,113297.93,24487.10206,2810268577.15137,115764.07,116052.0,112722.58
ETHUSDT,2025-08-01,3488.2,783869.1517,2826423714.237822,3698.39,3724.02,3431.75
BTCUSDT,2025-08-02,112546.35,11507.33428,1301882737.326722,113297.92,114063.49,112003.0
ETHUSDT,2025-08-02,3393.94,494195.7094,1709705648.162931,3488.21,3537.69,3368.29
BTCUSDT,2025-08-03,114208.8,7397.76046,841090034.1542541,112546.35,114799.97,111920.0
ETHUSDT,2025-08-03,3496.74,296347.6758,1026636932.33361,3393.94,3521.79,3354.28
BTCUSDT,2025-08-04,115055.03,9667.67916,1109938874.0629709,114208.81,115720.0,114107.6
ETHUSDT,2025-08-04,3720.99,463349.9861,1677819313.332998,3496.75,3736.73,3490.73
BTCUSDT,2025-08-05,114129.75,12042.79078,1371861747.1466167,115055.03,115127.81,112650.0
ETHUSDT,2025-08-05,3612.0,489070.9589,1772309727.640444,3720.99,3722.24,3546.0
ETHUSDT,2025-08-06,3683.31,365309.9205,1326203496.30214,3612.01,3698.6,3564.19
BTCUSDT,2025-08-06,114992.27,9761.15318,1118028732.8589184,114129.75,115716.0,113355.13
ETHUSDT,2025-08-07,3910.31,631678.9872,2402252971.431741,3683.31,3927.77,3647.63
BTCUSDT,2025-08-07,117472.01,13468.56263,1564454297.836927,114992.27,117621.0,114259.0
BTCUSDT,2025-08-08,116674.74,10045.31278,1172199778.7242546,117472.02,117630.0,115878.71
ETHUSDT,2025-08-08,4009.5,723300.0109,2868715363.889369,3910.3,4071.0,3880.0
BTCUSDT,2025-08-09,116462.25,9514.13144,1111837601.7023723,116674.74,117944.05,116299.13
ETHUSDT,2025-08-09,4260.62,691932.1048,2897074775.140159,4009.51,4326.2,4006.63
BTCUSDT,2025-08-10,119294.01,14322.77073,1694198747.8718708,116462.25,119311.11,116460.63
ETHUSDT,2025-08-10,4250.57,494843.8105,2091948332.589114,4260.63,4332.6,4153.07
