symbol,date,open,high,low,close,volume,quote_volume
ETHUSDT,2022-12-11,1266.29,1284.36,1256.0,1263.18,24663.06466,31355524.0978969
BTCUSDT,2022-12-12,17089.8,17239.24,16870.8,17207.18,3831.887075,65190636.05860842
ETHUSDT,2022-12-12,1263.18,1278.65,1240.12,1275.36,60862.7478,76335630.5297943
BTCUSDT,2022-12-13,17207.18,17977.0,17079.31,17778.49,6979.827724,122752391.95918284
ETHUSDT,2022-12-13,1275.36,1347.0,1255.06,1320.79,97586.32374,127441025.3837295
BTCUSDT,2022-12-14,17778.49,18378.5,17658.0,17804.08,8759.110759,157241900.71807173
ETHUSDT,2022-12-14,1320.79,1352.52,1301.0,1307.6,81248.26346,107617142.1737949
ETHUSDT,2022-12-15,1307.6,1311.43,1259.49,1266.74,56950.95002,72930857.0685905
BTCUSDT,2022-12-15,17804.08,17852.3,17270.0,17358.15,5543.619824,97255118.9611279
BTCUSDT,2022-12-16,17358.15,17522.98,16531.21,16634.6,7691.687467,130800108.92440969
ETHUSDT,2022-12-16,1266.74,1279.95,1155.4,1167.08,88722.41171,107484479.6090258
ETHUSDT,2022-12-17,1167.08,1190.1,1161.91,1187.2,46349.4695,54575455.0517185
BTCUSDT,2022-12-17,16634.6,16796.63,16580.63,16778.09,3232.398773,53965069.70858691
BTCUSDT,2022-12-18,16778.09,16863.0,16663.11,16738.48,2251.370623,37690466.70275067
ETHUSDT,2022-12-18,1187.2,1196.48,1172.04,1183.22,32471.83051,38439467.7434376
BTCUSDT,2022-12-19,16738.48,16815.09,16267.82,16440.6,4315.124157,71803678.6442243
ETHUSDT,2022-12-19,1183.22,1195.21,1150.41,1167.88,45999.05393,54173623.681719
ETHUSDT,2022-12-20,1167.88,1230.49,1162.99,1216.65,63595.02011,76656563.796977
BTCUSDT,2022-12-20,16440.6,17054.5,16398.04,16897.99,6468.452822,108725489.17746145
ETHUSDT,2022-12-21,1216.65,1222.29,1203.09,1213.57,39116.45522,47403016.8708786
BTCUSDT,2022-12-21,16897.99,16924.08,16730.25,16825.64,3529.107655,59384475.24460745
ETHUSDT,2022-12-22,1213.57,1238.56,1183.0,1217.67,50040.14703,60380163.6812506
BTCUSDT,2022-12-22,16825.64,16867.64,16563.68,16821.46,4284.281781,71727616.62202226
ETHUSDT,2022-12-23,1217.67,1231.24,1212.19,1220.0,48555.71568,59277208.867144
BTCUSDT,2022-12-23,16821.46,16940.0,16703.43,16782.72,4628.548899,77905831.44197251
ETHUSDT,2022-12-24,1220.0,1228.18,1214.65,1220.84,19051.81687,23239437.6812365
BTCUSDT,2022-12-24,16782.72,16862.07,16778.8,16833.79,1804.624735,30370445.60289333
BTCUSDT,2022-12-25,16833.79,16853.88,16720.0,16829.75,2354.123749,39571007.67232648
ETHUSDT,2022-12-25,1220.84,1224.34,1195.0,1218.33,29720.39804,36050950.2161485
ETHUSDT,2022-12-26,1218.33,1231.16,1211.81,1228.0,29932.88372,36494297.0467177
BTCUSDT,2022-12-26,16829.75,16940.0,16789.99,16916.41,2836.653945,47807193.9931797
ETHUSDT,2022-12-27,1228.0,1233.99,1200.65,1211.96,41956.63388,51033657.0597463
BTCUSDT,2022-12-27,16916.41,16969.33,16599.0,16707.98,4764.614448,79983273.59037812
ETHUSDT,2022-12-28,1211.96,1215.93,1181.5,1190.31,60376.75064,72257677.2399596
BTCUSDT,2022-12-28,16707.98,16783.35,16468.45,16547.24,5177.611496,86083315.44288287
ETHUSDT,2022-12-29,1190.31,1205.93,1186.92,1200.3,34774.35008,41617213.8628168
BTCUSDT,2022-12-29,16547.24,16661.47,16490.66,16634.29,3522.499059,58433077.45006516
